DateStart;DateTimeStart;SUM_of_IsDP
01JUN2026;01JUN2026:08:36:30.176000;1
01JUN2026;01JUN2026:08:36:38.634000;1
01JUN2026;01JUN2026:08:36:58.000000;1
01JUN2026;01JUN2026:08:37:27.863000;1
01JUN2026;01JUN2026:08:37:47.216000;1
01JUN2026;01JUN2026:08:38:23.901000;1
01JUN2026;01JUN2026:08:38:47.017000;1
01JUN2026;01JUN2026:08:38:57.093000;1
01JUN2026;01JUN2026:08:40:17.384000;1
01JUN2026;01JUN2026:08:43:09.969000;1
01JUN2026;01JUN2026:08:43:25.141000;1
01JUN2026;01JUN2026:08:44:07.158000;1
01JUN2026;01JUN2026:08:44:39.037000;1
01JUN2026;01JUN2026:08:44:41.907000;1
01JUN2026;01JUN2026:08:45:03.704000;1
01JUN2026;01JUN2026:08:45:11.929000;1
01JUN2026;01JUN2026:08:46:54.876000;1
01JUN2026;01JUN2026:08:47:54.553000;1
01JUN2026;01JUN2026:08:47:57.207000;1
01JUN2026;01JUN2026:08:48:33.871000;1
01JUN2026;01JUN2026:08:48:44.183000;1
01JUN2026;01JUN2026:08:48:44.541000;1
01JUN2026;01JUN2026:08:49:37.989000;1
01JUN2026;01JUN2026:08:51:29.102000;1
01JUN2026;01JUN2026:08:51:41.111000;1
01JUN2026;01JUN2026:08:52:03.177000;1
01JUN2026;01JUN2026:08:52:07.812000;1
01JUN2026;01JUN2026:08:53:52.722000;1
01JUN2026;01JUN2026:08:54:25.493000;1
01JUN2026;01JUN2026:08:54:41.099000;1
01JUN2026;01JUN2026:08:55:37.763000;1
01JUN2026;01JUN2026:08:56:15.426000;1
01JUN2026;01JUN2026:08:56:32.188000;1
01JUN2026;01JUN2026:08:56:41.367000;1
01JUN2026;01JUN2026:08:56:48.966000;1
01JUN2026;01JUN2026:08:57:04.348000;1
01JUN2026;01JUN2026:08:57:11.417000;1
01JUN2026;01JUN2026:08:57:23.958000;1
01JUN2026;01JUN2026:08:57:26.017000;1
01JUN2026;01JUN2026:08:58:00.299000;1
01JUN2026;01JUN2026:08:58:12.542000;1
01JUN2026;01JUN2026:08:58:51.890000;1
01JUN2026;01JUN2026:08:59:51.045000;1
01JUN2026;01JUN2026:09:01:04.187000;1
01JUN2026;01JUN2026:09:01:45.388000;1
01JUN2026;01JUN2026:09:01:57.340000;1
01JUN2026;01JUN2026:09:02:27.708000;1
01JUN2026;01JUN2026:09:02:45.047000;1
01JUN2026;01JUN2026:09:04:01.476000;1
01JUN2026;01JUN2026:09:04:14.575000;1
01JUN2026;01JUN2026:09:04:38.492000;1
01JUN2026;01JUN2026:09:05:24.092000;1
01JUN2026;01JUN2026:09:05:38.048000;1
01JUN2026;01JUN2026:09:06:51.462000;1
01JUN2026;01JUN2026:09:07:03.319000;1
01JUN2026;01JUN2026:09:07:16.219000;1
01JUN2026;01JUN2026:09:07:36.708000;1
01JUN2026;01JUN2026:09:08:43.069000;1
01JUN2026;01JUN2026:09:08:46.732000;1
01JUN2026;01JUN2026:09:09:06.337000;1
01JUN2026;01JUN2026:09:09:23.684000;1
01JUN2026;01JUN2026:09:11:27.406000;1
01JUN2026;01JUN2026:09:13:04.465000;1
01JUN2026;01JUN2026:09:15:19.698000;1
01JUN2026;01JUN2026:09:15:42.819000;1
01JUN2026;01JUN2026:09:15:45.581000;1
